id;level;parent_id;name;lat;lon;min_lat;max_lat;min_lon;max_lon;geometry_wkt
2661410;3;633075;Barcelona;414.444.284.273.994;218.813.178.300.309;414.420.509.897.507;414.468.058.346.429;218.497.225.421.173;219.129.151.651.666;POLYGON((2.18497225421173 41.4423205331967,2.18533030613052 41.4468058346429,2.19129151651666 41.4465362489462,2.19093305748302 41.4420509897507,2.18497225421173 41.4423205331967))
2661411;3;633075;Barcelona;41.448.913.704.699;21.884.900.790.364;414.465.362.489.462;414.512.911.300.415;218.533.030.613.052;219.165.005.670.887;POLYGON((2.18533030613052 41.4468058346429,2.18568843911664 41.4512911300415,2.19165005670887 41.4510215020885,2.19129151651666 41.4465362489462,2.18533030613052 41.4468058346429))
2661412;3;633075;Barcelona;414.486.439.441.244;219.445.145.244.029;414.462.663.557.752;414.510.215.020.885;219.129.151.651.666;219.761.159.312.147;POLYGON((2.19129151651666 41.4465362489462,2.19165005670887 41.4510215020885,2.19761159312147 41.4507515666133,2.19725264574423 41.4462663557752,2.19129151651666 41.4465362489462))
2661413;3;633075;Barcelona;414.441.587.091.021;219.409.274.925.708;41.441.781.138.878;414.465.362.489.462;219.093.305.748.302;219.725.264.574.423;POLYGON((2.19093305748302 41.4420509897507,2.19129151651666 41.4465362489462,2.19725264574423 41.4462663557752,2.1968937796168 41.441781138878,2.19093305748302 41.4420509897507))
2661414;3;633076;Barcelona;414.438.886.833.604;220.005.363.431.737;414.415.109.805.909;414.462.663.557.752;21.968.937.796.168;2.203.213.693.722;POLYGON((2.1968937796168 41.441781138878,2.19725264574423 41.4462663557752,2.203213693722 41.4459961551418,2.20285442052186 41.4415109805909,2.1968937796168 41.441781138878))
2661415;3;633076;Barcelona;414.483.738.760.575;220.041.274.462.947;414.459.961.551.418;414.507.515.666.133;219.725.264.574.423;220.357.304.826.316;POLYGON((2.19725264574423 41.4462663557752,2.19761159312147 41.4507515666133,2.20357304826316 41.4504813236279,2.203213693722 41.4459961551418,2.19725264574423 41.4462663557752))
2661416;3;633076;Barcelona;414.481.035.005.103;220.637.395.551.268;41.445.725.647.058;414.504.813.236.279;2.203.213.693.722;220.953.442.204.272;POLYGON((2.203213693722 41.4459961551418,2.20357304826316 41.4504813236279,2.20953442204272 41.4502107731443,2.20917466035873 41.445725647058,2.203213693722 41.4459961551418))
2661417;3;633076;Barcelona;414.436.183.501.863;220.601.443.809.281;414.412.405.149.012;414.459.961.551.418;220.285.442.052.186;220.917.466.035.873;POLYGON((2.20285442052186 41.4415109805909,2.203213693722 41.4459961551418,2.20917466035873 41.445725647058,2.208814980107 41.4412405149012,2.20285442052186 41.4415109805909))
2661418;3;633077;Barcelona;414.349.182.797.827;219.933.565.752.669;414.325.406.132.981;414.372.959.159.227;219.617.629.102.702;220.249.522.864.165;POLYGON((2.19617629102702 41.43281068691,2.19653499471808 41.4372959159227,2.20249522864165 41.437025799976,2.20213611806026 41.4325406132981,2.19617629102702 41.43281068691))
2661419;3;633077;Barcelona;414.394.034.846.019;219.969.460.529.015;41.437.025.799.976;41.441.781.138.878;219.653.499.471.808;220.285.442.052.186;POLYGON((2.19653499471808 41.4372959159227,2.1968937796168 41.441781138878,2.20285442052186 41.4415109805909,2.20249522864165 41.437025799976,2.19653499471808 41.4372959159227))
2661420;3;633077;Barcelona;41.439.133.193.795;220.565.500.204.903;414.367.553.766.747;414.415.109.805.909;220.249.522.864.165;2.208.814.980.107;POLYGON((2.20249522864165 41.437025799976,2.20285442052186 41.4415109805909,2.208814980107 41.4412405149012,2.20845538126638 41.4367553766747,2.20249522864165 41.437025799976))
2661421;3;633077;Barcelona;414.346.480.313.374;220.529.564.736.023;414.322.702.323.793;41.437.025.799.976;220.213.611.806.026;220.845.538.126.638;POLYGON((2.20213611806026 41.4325406132981,2.20249522864165 41.437025799976,2.20845538126638 41.4367553766747,2.20809586381577 41.4322702323793,2.20213611806026 41.4325406132981))
2661422;3;633078;Barcelona;414.533.989.759.479;218.884.845.619.318;414.510.215.020.885;414.557.764.193.917;218.568.843.911.664;219.200.867.808.073;POLYGON((2.18568843911664 41.4512911300415,2.18604665319113 41.4557764193917,2.19200867808073 41.4555067491767,2.19165005670887 41.4510215020885,2.18568843911664 41.4512911300415))
2661423;3;633078;Barcelona;41.457.884.241.145;218.920.691.449.449;414.555.067.491.767;414.602.617.026.928;218.604.665.319.113;21.923.673.806.533;POLYGON((2.18604665319113 41.4557764193917,2.18640494837506 41.4602617026928,2.1923673806533 41.45999199021,2.19200867808073 41.4555067491767,2.18604665319113 41.4557764193917))
2661424;3;633078;Barcelona;414.576.143.959.985;219.516.910.247.205;414.552.367.713.917;4.145.999.199.021;219.200.867.808.073;219.832.973.170.974;POLYGON((2.19200867808073 41.4555067491767,2.1923673806533 41.45999199021,2.19832973170974 41.4597219701094,2.1979706217696 41.4552367713917,2.19200867808073 41.4555067491767))
